name 	aper   filter corrcount correrr rawcount rawerr  mag   magerr   exp
06bz	3.5	uvm2	0.016	0.008	0.013	0.006	21.35	0.53	795.49
06bz	3.5	uvw1	0.031 	1 	-0.004	0.023	21.24	1 	304.63
06bz	3.5	uvm2	0.0087	1 	0.0071 	0.0071	22.01	1 	531.77
06bz	3.5	uvw1	0.029	1 	0.022	0.024	21.31 	1 	353.84
06bz	3.5	uvm2	0.031 	0.025	0.025	0.021 	20.66	0.19 	206.73
06bz	3.5	uvw1	0.037	1 	0.027	0.031	21.01	1 	229.84
06en	3.08	uvm2	0.228	0.018	0.201	0.016	18.46	0.09	928.94
06en	3.08	uvw1	0.583	0.041 	0.516	0.035	18.03	0.07	531.16
06en	3.08	uvm2	0.195	0.051	0.171	0.044	18.63	0.28	110.97
06en	3.08	uvw1	0.344	0.086	0.304	0.076	18.61 	0.27	73.60
06en	3.08	uvm2	0.231	0.027	0.202	0.024	18.44	0.13	455.01
06en	3.08	uvw1	0.591	0.053	0.521	0.047	18.01	0.11 	302.47
06nz	2.48	uvm2	0.017	0.011	0.015	0.011 	21.29	0.73	354.10
06nz	2.48	uvw1	0.113	0.033	0.101 	0.029	19.81 	0.31	236.00
06nz	2.48	uvm2	0.019	0.011 	0.015	0.008	21.17	0.57	943.48
06nz	2.48	uvw1	0.068	0.028	0.054	0.022	20.37	0.45	629.55
06oa	1.7	uvm2	0.015	0.008	0.013	0.007	21.41 	0.57	650.16
06oa	1.7	uvw1	0.023	0.015	0.021 	0.013	21.52	0.71	433.66
06oa	1.7	uvm2	0.015	0.009	0.013	0.008	21.38	0.65	298.75
06oa	1.7	uvw1	0.018	1 	0.011	0.014	21.82	1 	200.35
06oa	1.7	uvm2	0.019	1 	0.00091	0.01134	21.15	1 	151.35
06oa	1.7	uvw1	0.056	1 	0.035	0.042	20.57	1 	101.15
06ob	1.7	uvm2	0.012	1 	-0.003	0.007	21.69	1 	251.73
06ob	1.7	uvw1	0.024	1 	0.0095	0.0192	21.51 	1 	168.09
06ob	1.7	uvm2	0.015	1 	0.0051 	0.0105	21.39	1 	165.13
06ob	1.7	uvw1	0.028	0.023	0.023	0.019	21.32	0.19 	110.01
